rebalance_date,fund_name,asset_family,portfolio_method,initial_establishment,one_way_turnover
2023-12-01,Cryptocurrency Risk Parity,Cryptocurrency only,Risk Parity,False,0.0323407819428559
2021-01-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,True,0.0
2021-02-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.10863192088489891
2021-03-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.047567256783873565
2021-04-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.06951688937211171
2021-05-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.22008690956644328
2021-06-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.2840986184278962
2021-07-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.027969871448746037
2021-08-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.012166402240507544
2021-09-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.030824834530922662
2021-10-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.05878580673030764
2021-11-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.0397313042628002
2021-12-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.02620218596768424
2022-01-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.014820642428787945
2022-02-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.01785345375062629
2022-03-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.03146378917951842
2022-04-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.007818959094741132
2022-05-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.06081118604158944
2022-06-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.0879937117035394
2022-07-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.003622086404352784
2022-08-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.034403621585494704
2022-09-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.03741849216479341
2022-10-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.13470020328710863
2022-11-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.020814252474072734
2022-12-01,Cryptocurrency Minimum Variance,Cryptocurrency only,Minimum Variance,False,0.06504622162213228
